rank,ticker,company,weight,sector,sub_industry
1,NVDA,NVIDIA Corp,7.45,Information Technology,Semiconductors
2,AAPL,Apple Inc,6.76,Information Technology,"Technology Hardware, Storage & Peripherals"
3,MSFT,Microsoft Corp,4.61,Information Technology,Systems Software
4,AMZN,Amazon.com Inc,3.96,Consumer Discretionary,Broadline Retail
5,GOOGL,Alphabet Inc,3.42,Communication Services,Interactive Media & Services
6,GOOG,Alphabet Inc,3.18,Communication Services,Interactive Media & Services
7,AVGO,Broadcom Inc,2.75,Information Technology,Semiconductors
8,META,Meta Platforms Inc,2.24,Communication Services,Interactive Media & Services
9,TSLA,Tesla Inc,2.2,Consumer Discretionary,Automobile Manufacturers
10,BRK.B,Berkshire Hathaway Inc,1.57,Financials,Multi-Sector Holdings
11,LLY,Eli Lilly & Co,1.5,Health Care,Pharmaceuticals
12,MU,Micron Technology Inc,1.48,Information Technology,Semiconductors
13,WMT,Walmart Inc,1.41,Consumer Staples,Consumer Staples Merchandise Retail
14,JPM,JPMorgan Chase & Co,1.25,Financials,Diversified Banks
15,AMD,Advanced Micro Devices Inc,1.14,Information Technology,Semiconductors
16,XOM,Exxon Mobil Corp,0.93,Energy,Integrated Oil & Gas
18,ORCL,Oracle Corp,0.92,Information Technology,Application Software
17,V,Visa Inc,0.92,Financials,Transaction & Payment Processing Services
19,JNJ,Johnson & Johnson,0.84,Health Care,Pharmaceuticals
20,INTC,Intel Corp,0.74,Information Technology,Semiconductors
21,CSCO,Cisco Systems Inc,0.72,Information Technology,Communications Equipment
22,MA,Mastercard Inc,0.65,Financials,Transaction & Payment Processing Services
23,COST,Costco Wholesale Corp,0.64,Consumer Staples,Consumer Staples Merchandise Retail
24,CAT,Caterpillar Inc,0.62,Industrials,Construction Machinery & Heavy Transportation Equipment
25,ABBV,AbbVie Inc,0.6,Health Care,Biotechnology
27,LRCX,Lam Research Corp,0.57,Information Technology,Semiconductor Materials & Equipment
26,BAC,Bank of America Corp,0.57,Financials,Diversified Banks
28,CVX,Chevron Corp,0.56,Energy,Integrated Oil & Gas
29,UNH,UnitedHealth Group Inc,0.54,Health Care,Managed Health Care
30,AMAT,Applied Materials Inc,0.53,Information Technology,Semiconductor Materials & Equipment
31,NFLX,Netflix Inc,0.52,Communication Services,Movies & Entertainment
32,KO,Coca-Cola Co/The,0.51,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
33,GE,General Electric Co,0.51,Industrials,Aerospace & Defense
34,PG,Procter & Gamble Co/The,0.51,Consumer Staples,Personal Care Products
35,MS,Morgan Stanley,0.5,Financials,Investment Banking & Brokerage
36,PLTR,Palantir Technologies Inc,0.48,Information Technology,Application Software
38,GS,Goldman Sachs Group Inc/The,0.46,Financials,Investment Banking & Brokerage
37,HD,Home Depot Inc/The,0.46,Consumer Discretionary,Home Improvement Retail
39,MRK,Merck & Co Inc,0.44,Health Care,Pharmaceuticals
40,PM,Philip Morris International Inc,0.42,Consumer Staples,Tobacco
41,IBM,International Business Machines Corp,0.4,Information Technology,IT Consulting & Other Services
42,TXN,Texas Instruments Inc,0.39,Information Technology,Semiconductors
44,KLAC,KLA Corp,0.38,Information Technology,Semiconductor Materials & Equipment
43,DELL,Dell Technologies Inc,0.38,Information Technology,"Technology Hardware, Storage & Peripherals"
45,WFC,Wells Fargo & Co,0.37,Financials,Diversified Banks
46,GEV,GE Vernova Inc,0.37,Industrials,Heavy Electrical Equipment
47,RTX,RTX Corp,0.36,Industrials,Aerospace & Defense
48,LIN,Linde PLC,0.35,Materials,Industrial Gases
49,SNDK,Sandisk Corp/DE,0.35,Information Technology,"Technology Hardware, Storage & Peripherals"
50,QCOM,QUALCOMM Inc,0.34,Information Technology,Semiconductors
51,C,Citigroup Inc,0.34,Financials,Diversified Banks
52,PANW,Palo Alto Networks Inc,0.33,Information Technology,Systems Software
53,AXP,American Express Co,0.32,Financials,Consumer Finance
54,MCD,McDonald's Corp,0.3,Consumer Discretionary,Restaurants
55,ADI,Analog Devices Inc,0.29,Information Technology,Semiconductors
57,ANET,Arista Networks Inc,0.29,Information Technology,Communications Equipment
59,STX,Seagate Technology Holdings PLC,0.29,Information Technology,"Technology Hardware, Storage & Peripherals"
58,TMUS,T-Mobile US Inc,0.29,Communication Services,Wireless Telecommunication Services
56,PEP,PepsiCo Inc,0.29,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
61,AMGN,Amgen Inc,0.28,Health Care,Biotechnology
60,VZ,Verizon Communications Inc,0.28,Communication Services,Integrated Telecommunication Services
62,APP,AppLovin Corp,0.28,Information Technology,Application Software
63,NEE,NextEra Energy Inc,0.27,Utilities,Multi-Utilities
65,TMO,Thermo Fisher Scientific Inc,0.26,Health Care,Life Sciences Tools & Services
67,DIS,Walt Disney Co/The,0.26,Communication Services,Movies & Entertainment
66,WDC,Western Digital Corp,0.26,Information Technology,"Technology Hardware, Storage & Peripherals"
64,TJX,TJX Cos Inc/The,0.26,Consumer Discretionary,Apparel Retail
68,APH,Amphenol Corp,0.26,Information Technology,Electronic Components
69,CRWD,Crowdstrike Holdings Inc,0.25,Information Technology,Systems Software
70,BA,Boeing Co/The,0.25,Industrials,Aerospace & Defense
74,T,AT&T Inc,0.24,Communication Services,Integrated Telecommunication Services
72,GILD,Gilead Sciences Inc,0.24,Health Care,Biotechnology
71,UNP,Union Pacific Corp,0.24,Industrials,Rail Transportation
73,ABT,Abbott Laboratories,0.24,Health Care,Health Care Equipment
80,CRM,Salesforce Inc,0.23,Information Technology,Application Software
77,BLK,Blackrock Inc,0.23,Financials,Asset Management & Custody Banks
79,GLW,Corning Inc,0.23,Information Technology,Electronic Components
75,DE,Deere & Co,0.23,Industrials,Agricultural & Farm Machinery
76,SCHW,Charles Schwab Corp/The,0.23,Financials,Investment Banking & Brokerage
78,ETN,Eaton Corp PLC,0.23,Industrials,Electrical Components & Equipment
83,PFE,Pfizer Inc,0.22,Health Care,Pharmaceuticals
82,WELL,Welltower Inc,0.22,Real Estate,Health Care REITs
81,ISRG,Intuitive Surgical Inc,0.22,Health Care,Health Care Equipment
85,COP,ConocoPhillips,0.21,Energy,Oil & Gas Exploration & Production
84,UBER,Uber Technologies Inc,0.21,Industrials,Passenger Ground Transportation
86,BX,Blackstone Inc,0.21,Financials,Asset Management & Custody Banks
87,HON,Honeywell International Inc,0.2,Industrials,Industrial Conglomerates
88,PLD,Prologis Inc,0.2,Real Estate,Industrial REITs
91,CB,Chubb Ltd,0.19,Financials,Property & Casualty Insurance
90,BKNG,Booking Holdings Inc,0.19,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
92,SPGI,S&P Global Inc,0.19,Financials,Financial Exchanges & Data
89,DHR,Danaher Corp,0.19,Health Care,Life Sciences Tools & Services
93,CVS,CVS Health Corp,0.18,Health Care,Health Care Services
94,MO,Altria Group Inc,0.18,Consumer Staples,Tobacco
97,LOW,Lowe's Cos Inc,0.18,Consumer Discretionary,Home Improvement Retail
95,LMT,Lockheed Martin Corp,0.18,Industrials,Aerospace & Defense
96,PGR,Progressive Corp/The,0.18,Financials,Property & Casualty Insurance
98,BMY,Bristol-Myers Squibb Co,0.17,Health Care,Pharmaceuticals
102,VRTX,Vertex Pharmaceuticals Inc,0.17,Health Care,Biotechnology
100,NOW,ServiceNow Inc,0.17,Information Technology,Systems Software
103,COF,Capital One Financial Corp,0.17,Financials,Consumer Finance
101,VRT,Vertiv Holdings,0.17,Industrials,Electrical Components & Equipment
99,SYK,Stryker Corp,0.17,Health Care,Health Care Equipment
110,MDT,Medtronic PLC,0.16,Health Care,Health Care Equipment
105,PH,Parker-Hannifin Corp,0.16,Industrials,Industrial Machinery & Supplies & Components
109,FTNT,Fortinet Inc,0.16,Information Technology,Systems Software
107,NEM,Newmont Corp,0.16,Materials,Gold
112,PWR,Quanta Services Inc,0.16,Industrials,Construction & Engineering
106,SBUX,Starbucks Corp,0.16,Consumer Discretionary,Restaurants
108,EQIX,Equinix Inc,0.16,Real Estate,Data Center REITs
111,SO,Southern Co/The,0.16,Utilities,Electric Utilities
104,ACN,Accenture PLC,0.16,Information Technology,IT Consulting & Other Services
115,ADBE,Adobe Inc,0.15,Information Technology,Application Software
116,TT,Trane Technologies PLC,0.15,Industrials,Building Products
114,MAR,Marriott International Inc/MD,0.15,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
118,BNY,Bank of New York Mellon Corp/The,0.15,Financials,Asset Management & Custody Banks
117,HWM,Howmet Aerospace Inc,0.15,Industrials,Aerospace & Defense
113,CDNS,Cadence Design Systems Inc,0.15,Information Technology,Application Software
123,ADP,Automatic Data Processing Inc,0.14,Industrials,Human Resource & Employment Services
120,GD,General Dynamics Corp,0.14,Industrials,Aerospace & Defense
122,CME,CME Group Inc,0.14,Financials,Financial Exchanges & Data
126,FCX,Freeport-McMoRan Inc,0.14,Materials,Copper
124,UPS,United Parcel Service Inc,0.14,Industrials,Air Freight & Logistics
119,DUK,Duke Energy Corp,0.14,Utilities,Electric Utilities
125,PNC,PNC Financial Services Group Inc/The,0.14,Financials,Diversified Banks
127,CEG,Constellation Energy Corp,0.14,Utilities,Electric Utilities
121,MCK,McKesson Corp,0.14,Health Care,Health Care Distributors
129,CMI,Cummins Inc,0.13,Industrials,Construction Machinery & Heavy Transportation Equipment
132,JCI,Johnson Controls International plc,0.13,Industrials,Building Products
138,CMCSA,Comcast Corp,0.13,Communication Services,Cable & Satellite
128,AMT,American Tower Corp,0.13,Real Estate,Telecom Tower REITs
135,MNST,Monster Beverage Corp,0.13,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
137,USB,US Bancorp,0.13,Financials,Diversified Banks
134,WMB,Williams Cos Inc/The,0.13,Energy,Oil & Gas Storage & Transportation
136,CSX,CSX Corp,0.13,Industrials,Rail Transportation
130,SNPS,Synopsys Inc,0.13,Information Technology,Application Software
133,ELV,Elevance Health Inc,0.13,Health Care,Managed Health Care
131,WM,Waste Management Inc,0.13,Industrials,Environmental & Facilities Services
147,ABNB,Airbnb Inc,0.12,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
152,EMR,Emerson Electric Co,0.12,Industrials,Electrical Components & Equipment
141,SLB,SLB Ltd,0.12,Energy,Oil & Gas Equipment & Services
143,INTU,Intuit Inc,0.12,Information Technology,Application Software
151,HLT,Hilton Worldwide Holdings Inc,0.12,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
144,ICE,Intercontinental Exchange Inc,0.12,Financials,Financial Exchanges & Data
146,MRSH,Marsh & McLennan Cos Inc,0.12,Financials,Insurance Brokers
148,MMM,3M Co,0.12,Industrials,Industrial Conglomerates
140,KKR,KKR & Co Inc,0.12,Financials,Asset Management & Custody Banks
150,MCO,Moody's Corp,0.12,Financials,Financial Exchanges & Data
142,DDOG,Datadog Inc,0.12,Information Technology,Application Software
149,FDX,FedEx Corp,0.12,Industrials,Air Freight & Logistics
154,NOC,Northrop Grumman Corp,0.12,Industrials,Aerospace & Defense
145,MDLZ,Mondelez International Inc,0.12,Consumer Staples,Packaged Foods & Meats
139,HCA,HCA Healthcare Inc,0.12,Health Care,Health Care Facilities
153,MPC,Marathon Petroleum Corp,0.12,Energy,Oil & Gas Refining & Marketing
174,CL,Colgate-Palmolive Co,0.11,Consumer Staples,Household Products
156,CI,Cigna Group/The,0.11,Health Care,Health Care Services
164,COHR,Coherent,0.11,Information Technology,Electronic Components
155,VLO,Valero Energy Corp,0.11,Energy,Oil & Gas Refining & Marketing
172,CTAS,Cintas Corp,0.11,Industrials,Diversified Support Services
169,ECL,Ecolab Inc,0.11,Materials,Specialty Chemicals
159,SHW,Sherwin-Williams Co/The,0.11,Materials,Specialty Chemicals
161,EOG,EOG Resources Inc,0.11,Energy,Oil & Gas Exploration & Production
173,CRH,CRH PLC,0.11,Materials,Construction Materials
157,RCL,Royal Caribbean Cruises Ltd,0.11,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
167,ROST,Ross Stores Inc,0.11,Consumer Discretionary,Apparel Retail
170,MPWR,Monolithic Power Systems Inc,0.11,Information Technology,Semiconductors
168,ITW,Illinois Tool Works Inc,0.11,Industrials,Industrial Machinery & Supplies & Components
166,PSX,Phillips 66,0.11,Energy,Oil & Gas Refining & Marketing
160,NXPI,NXP Semiconductors NV,0.11,Information Technology,Semiconductors
171,BSX,Boston Scientific Corp,0.11,Health Care,Health Care Equipment
162,HOOD,Robinhood Markets Inc,0.11,Financials,Investment Banking & Brokerage
163,GM,General Motors Co,0.11,Consumer Discretionary,Automobile Manufacturers
175,NSC,Norfolk Southern Corp,0.11,Industrials,Rail Transportation
165,APO,Apollo Global Management Inc,0.11,Financials,Asset Management & Custody Banks
158,ORLY,O'Reilly Automotive Inc,0.11,Consumer Discretionary,Automotive Retail
180,CIEN,Ciena,0.1,Information Technology,Communications Equipment
190,FIX,Comfort Systems USA Inc,0.1,Industrials,Construction & Engineering
179,TDG,TransDigm Group Inc,0.1,Industrials,Aerospace & Defense
178,AON,Aon PLC,0.1,Financials,Insurance Brokers
185,REGN,Regeneron Pharmaceuticals Inc,0.1,Health Care,Biotechnology
186,URI,United Rentals Inc,0.1,Industrials,Trading Companies & Distributors
187,WBD,Warner Bros Discovery Inc,0.1,Communication Services,Broadcasting
183,DASH,DoorDash Inc,0.1,Consumer Discretionary,Specialized Consumer Services
188,DLR,Digital Realty Trust Inc,0.1,Real Estate,Data Center REITs
182,SPG,Simon Property Group Inc,0.1,Real Estate,Retail REITs
176,KMI,Kinder Morgan Inc,0.1,Energy,Oil & Gas Storage & Transportation
177,AEP,American Electric Power Co Inc,0.1,Utilities,Electric Utilities
184,LITE,Lumentum Holdings,0.1,Information Technology,Communications Equipment
192,NKE,NIKE Inc,0.1,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
181,MSI,Motorola Solutions Inc,0.1,Information Technology,Communications Equipment
191,TRV,Travelers Cos Inc/The,0.1,Financials,Property & Casualty Insurance
189,HPE,Hewlett Packard Enterprise Co,0.1,Information Technology,"Technology Hardware, Storage & Peripherals"
200,SRE,Sempra,0.09,Utilities,Multi-Utilities
202,F,Ford Motor Co,0.09,Consumer Discretionary,Automobile Manufacturers
193,RSG,Republic Services Inc,0.09,Industrials,Environmental & Facilities Services
203,D,Dominion Energy Inc,0.09,Utilities,Multi-Utilities
197,GWW,WW Grainger Inc,0.09,Industrials,Industrial Machinery & Supplies & Components
201,AFL,Aflac Inc,0.09,Financials,Life & Health Insurance
205,LHX,L3Harris Technologies Inc,0.09,Industrials,Aerospace & Defense
199,PCAR,PACCAR Inc,0.09,Industrials,Construction Machinery & Heavy Transportation Equipment
204,NUE,Nucor Corp,0.09,Materials,Steel
198,TFC,Truist Financial Corp,0.09,Financials,Diversified Banks
195,TEL,TE Connectivity PLC,0.09,Information Technology,Electronic Manufacturing Services
196,BKR,Baker Hughes Co,0.09,Energy,Oil & Gas Equipment & Services
194,APD,Air Products and Chemicals Inc,0.09,Materials,Industrial Gases
226,EA,Electronic Arts Inc,0.08,Communication Services,Interactive Home Entertainment
224,DVN,Devon Energy Corp,0.08,Energy,Oil & Gas Exploration & Production
225,AZO,AutoZone Inc,0.08,Consumer Discretionary,Automotive Retail
213,CARR,Carrier Global Corp,0.08,Industrials,Building Products
217,PSA,Public Storage,0.08,Real Estate,Self-Storage REITs
207,OXY,Occidental Petroleum Corp,0.08,Energy,Oil & Gas Exploration & Production
211,TER,Teradyne Inc,0.08,Information Technology,Semiconductor Materials & Equipment
212,TGT,Target Corp,0.08,Consumer Staples,Consumer Staples Merchandise Retail
219,FAST,Fastenal Co,0.08,Industrials,Trading Companies & Distributors
216,FANG,Diamondback Energy Inc,0.08,Energy,Oil & Gas Exploration & Production
215,AJG,Arthur J Gallagher & Co,0.08,Financials,Insurance Brokers
208,O,Realty Income Corp,0.08,Real Estate,Retail REITs
227,ODFL,Old Dominion Freight Line Inc,0.08,Industrials,Cargo Ground Transportation
214,OKE,ONEOK Inc,0.08,Energy,Oil & Gas Storage & Transportation
210,KEYS,Keysight Technologies Inc,0.08,Information Technology,Electronic Equipment & Instruments
220,MET,MetLife Inc,0.08,Financials,Life & Health Insurance
218,AME,AMETEK Inc,0.08,Industrials,Electrical Components & Equipment
209,ALL,Allstate Corp/The,0.08,Financials,Property & Casualty Insurance
223,CTVA,Corteva Inc,0.08,Materials,Fertilizers & Agricultural Chemicals
222,DAL,Delta Air Lines Inc,0.08,Industrials,Passenger Airlines
221,COR,Cencora Inc,0.08,Health Care,Health Care Distributors
206,TRGP,Targa Resources Corp,0.08,Energy,Oil & Gas Storage & Transportation
239,FITB,Fifth Third Bancorp,0.07,Financials,Regional Banks
242,ON,ON Semiconductor Corp,0.07,Information Technology,Semiconductors
240,EXC,Exelon Corp,0.07,Utilities,Electric Utilities
230,ROK,Rockwell Automation Inc,0.07,Industrials,Electrical Components & Equipment
233,EW,Edwards Lifesciences Corp,0.07,Health Care,Health Care Equipment
229,ETR,Entergy Corp,0.07,Utilities,Electric Utilities
234,EBAY,eBay Inc,0.07,Consumer Discretionary,Broadline Retail
244,STT,State Street Corp,0.07,Financials,Asset Management & Custody Banks
238,CVNA,Carvana Co,0.07,Consumer Discretionary,Automotive Retail
235,ADSK,Autodesk Inc,0.07,Information Technology,Application Software
245,WAB,Westinghouse Air Brake Technologies Corp,0.07,Industrials,Construction Machinery & Heavy Transportation Equipment
228,VST,Vistra Corp,0.07,Utilities,Electric Utilities
232,NDAQ,Nasdaq Inc,0.07,Financials,Financial Exchanges & Data
236,MCHP,Microchip Technology Inc,0.07,Information Technology,Semiconductors
237,CAH,Cardinal Health Inc,0.07,Health Care,Health Care Distributors
243,MSCI,MSCI Inc,0.07,Financials,Financial Exchanges & Data
246,IDXX,IDEXX Laboratories Inc,0.07,Health Care,Health Care Equipment
231,XEL,Xcel Energy Inc,0.07,Utilities,Multi-Utilities
241,GRMN,Garmin Ltd,0.07,Consumer Discretionary,Consumer Electronics
262,KR,Kroger Co/The,0.06,Consumer Staples,Food Retail
274,LYV,Live Nation Entertainment Inc,0.06,Communication Services,Movies & Entertainment
257,TTWO,Take-Two Interactive Software Inc,0.06,Communication Services,Interactive Home Entertainment
275,WEC,WEC Energy Group Inc,0.06,Utilities,Electric Utilities
261,VTR,Ventas Inc,0.06,Real Estate,Health Care REITs
254,XYZ,Block Inc,0.06,Financials,Transaction & Payment Processing Services
265,STLD,Steel Dynamics Inc,0.06,Materials,Steel
